Time Period,Trip Type,Fare Evasion,Year,Quarter,Month,Date,Mode
2019-Q1,Local,0.25,2019,Q1,2,2019-02-01,Buses
2019-Q2,Local,0.279,2019,Q2,5,2019-05-01,Buses
2019-Q3,Local,0.21,2019,Q3,8,2019-08-01,Buses
2019-Q4,Local,0.206,2019,Q4,11,2019-11-01,Buses
2020-Q1,Local,0.211,2020,Q1,2,2020-02-01,Buses
2020-Q2,Local,0.21833333333333332,2020,Q2,5,2020-05-01,Buses
2020-Q3,Local,0.22566666666666668,2020,Q3,8,2020-08-01,Buses
2020-Q4,Local,0.233,2020,Q4,11,2020-11-01,Buses
2020-Q4,Express,0.047,2020,Q4,11,2020-11-01,Buses
2021-Q1,Local,0.236,2021,Q1,2,2021-02-01,Buses
2021-Q1,Express,0.064,2021,Q1,2,2021-02-01,Buses
2021-Q1,SBS,0.338,2021,Q1,2,2021-02-01,Buses
2021-Q2,Local,0.238,2021,Q2,5,2021-05-01,Buses
2021-Q2,Express,0.054,2021,Q2,5,2021-05-01,Buses
2021-Q2,SBS,0.311,2021,Q2,5,2021-05-01,Buses
2021-Q3,Local,0.252,2021,Q3,8,2021-08-01,Buses
2021-Q3,Express,0.073,2021,Q3,8,2021-08-01,Buses
2021-Q3,SBS,0.321,2021,Q3,8,2021-08-01,Buses
2021-Q4,Local,0.293,2021,Q4,11,2021-11-01,Buses
2021-Q4,Express,0.06,2021,Q4,11,2021-11-01,Buses
2021-Q4,SBS,0.363,2021,Q4,11,2021-11-01,Buses
2022-Q1,Local,0.315,2022,Q1,2,2022-02-01,Buses
2022-Q1,Express,0.063,2022,Q1,2,2022-02-01,Buses
2022-Q1,SBS,0.403,2022,Q1,2,2022-02-01,Buses
2022-Q2,Local,0.326,2022,Q2,5,2022-05-01,Buses
2022-Q2,Express,0.062,2022,Q2,5,2022-05-01,Buses
2022-Q2,SBS,0.391,2022,Q2,5,2022-05-01,Buses
2022-Q3,Local,0.329,2022,Q3,8,2022-08-01,Buses
2022-Q3,Express,0.062,2022,Q3,8,2022-08-01,Buses
2022-Q3,SBS,0.413,2022,Q3,8,2022-08-01,Buses
2022-Q4,Local,0.363,2022,Q4,11,2022-11-01,Buses
2022-Q4,Express,0.061,2022,Q4,11,2022-11-01,Buses
2022-Q4,SBS,0.456,2022,Q4,11,2022-11-01,Buses
2023-Q1,Local,0.377,2023,Q1,2,2023-02-01,Buses
2023-Q1,Express,0.059,2023,Q1,2,2023-02-01,Buses
2023-Q1,SBS,0.465,2023,Q1,2,2023-02-01,Buses
2023-Q2,Local,0.398,2023,Q2,5,2023-05-01,Buses
2023-Q2,Express,0.061,2023,Q2,5,2023-05-01,Buses
2023-Q2,SBS,0.445,2023,Q2,5,2023-05-01,Buses
2023-Q3,Local,0.41,2023,Q3,8,2023-08-01,Buses
2023-Q3,Express,0.064,2023,Q3,8,2023-08-01,Buses
2023-Q3,SBS,0.483,2023,Q3,8,2023-08-01,Buses
2023-Q4,Local,0.454,2023,Q4,11,2023-11-01,Buses
2023-Q4,Express,0.062,2023,Q4,11,2023-11-01,Buses
2023-Q4,SBS,0.539,2023,Q4,11,2023-11-01,Buses
2024-Q1,Local,0.469,2024,Q1,2,2024-02-01,Buses
2024-Q1,Express,0.045,2024,Q1,2,2024-02-01,Buses
2024-Q1,SBS,0.566,2024,Q1,2,2024-02-01,Buses
2024-Q2,Local,0.486,2024,Q2,5,2024-05-01,Buses
2024-Q2,Express,0.047,2024,Q2,5,2024-05-01,Buses
2024-Q2,SBS,0.576,2024,Q2,5,2024-05-01,Buses
2024-Q3,Local,0.475,2024,Q3,8,2024-08-01,Buses
2024-Q3,Express,0.05,2024,Q3,8,2024-08-01,Buses
2024-Q3,SBS,0.546,2024,Q3,8,2024-08-01,Buses
2024-Q4,Local,0.44,2024,Q4,11,2024-11-01,Buses
2024-Q4,Express,0.038,2024,Q4,11,2024-11-01,Buses
2024-Q4,SBS,0.564,2024,Q4,11,2024-11-01,Buses
2020-Q4,Total,0.2307,2020,Q4,11,2020-11-01,Buses
2021-Q1,Total,0.2492,2021,Q1,2,2021-02-01,Buses
2021-Q2,Total,0.2466,2021,Q2,5,2021-05-01,Buses
2021-Q3,Total,0.2599,2021,Q3,8,2021-08-01,Buses
2021-Q4,Total,0.3003,2021,Q4,11,2021-11-01,Buses
2022-Q1,Total,0.3242,2022,Q1,2,2022-02-01,Buses
2022-Q2,Total,0.3316,2022,Q2,5,2022-05-01,Buses
2022-Q3,Total,0.3372,2022,Q3,8,2022-08-01,Buses
2022-Q4,Total,0.3722,2022,Q4,11,2022-11-01,Buses
2023-Q1,Total,0.3852,2023,Q1,2,2023-02-01,Buses
2023-Q2,Total,0.3996,2023,Q2,5,2023-05-01,Buses
2023-Q3,Total,0.4155,2023,Q3,8,2023-08-01,Buses
2023-Q4,Total,0.461,2023,Q4,11,2023-11-01,Buses
2024-Q1,Total,0.4775,2024,Q1,2,2024-02-01,Buses
2024-Q2,Total,0.494,2024,Q2,5,2024-05-01,Buses
2024-Q3,Total,0.4798,2024,Q3,8,2024-08-01,Buses
2024-Q4,Total,0.449,2024,Q4,11,2024-11-01,Buses
2025-Q1,Express,0.036,2025,Q1,2,2025-02-01,Buses
2025-Q1,Local,0.43,2025,Q1,2,2025-02-01,Buses
2025-Q1,SBS,0.558,2025,Q1,2,2025-02-01,Buses
2025-Q1,Total,0.44,2025,Q1,2,2025-02-01,Buses
