year,period,customer_journey_time_performance,avg_wait_assessment
2017,Off-Peak,0.712292,0.823955
2017,Peak,0.689922,0.75483
2018,Off-Peak,0.726592,0.823211
2018,Peak,0.707845,0.759159
2019,Off-Peak,0.697352,0.770813
2019,Peak,0.676747,0.707858
2020,Off-Peak,0.755142,0.783779
2020,Peak,0.75087,0.73297
2021,Off-Peak,0.728517,0.737516
2021,Peak,0.730195,0.684876
2022,Off-Peak,0.704027,0.736197
2022,Peak,0.69722,0.680079
2023,Off-Peak,0.69591,0.739629
2023,Peak,0.695289,0.684443
2024,Off-Peak,0.668082,0.713922
2024,Peak,0.668432,0.659089
2025,Off-Peak,0.686237,0.729151
2025,Peak,0.686865,0.678939
