Date,Recovery
2020-11-01,0.51
2020-12-01,0.49
2021-01-01,0.49
2021-02-01,0.45
2021-03-01,0.49
2021-04-01,0.53
2021-05-01,0.55
2021-06-01,0.58
2021-07-01,0.59
2021-08-01,0.59
2021-09-01,0.6
2021-10-01,0.64
2021-11-01,0.66
2021-12-01,0.64
2022-01-01,0.55
2022-02-01,0.6
2022-03-01,0.63
2022-04-01,0.63
2022-05-01,0.64
2022-06-01,0.65
2022-07-01,0.63
2022-08-01,0.64
2022-09-01,0.62
2022-10-01,0.64
2022-11-01,0.67
2022-12-01,0.64
2023-01-01,0.68
2023-02-01,0.65
2023-03-01,0.65
2023-04-01,0.65
2023-05-01,0.65
2023-06-01,0.65
2023-07-01,0.63
2023-08-01,0.63
2023-09-01,0.59
2023-10-01,0.61
2023-11-01,0.62
2023-12-01,0.59
2024-01-01,0.6
2024-02-01,0.59
2024-03-01,0.58
2024-04-01,0.58
2024-05-01,0.58
2024-06-01,0.6
2024-07-01,0.58
2024-08-01,0.56
2024-09-01,0.63
2024-10-01,0.66
2024-11-01,0.67
2024-12-01,0.65
2025-01-01,0.58
