year,period,wait_assessment
2015,Off-Peak,0.7962527762441254
2015,Peak,0.7120010228054222
2016,Off-Peak,0.8159795167524814
2016,Peak,0.7310207912028317
2017,Off-Peak,0.8092430875929233
2017,Peak,0.7202247144895736
2018,Off-Peak,0.8076017050549147
2018,Peak,0.721703838604546
2019,Off-Peak,0.7604036745031958
2019,Peak,0.67623355897775
2020,Off-Peak,0.7718302183763079
2020,Peak,0.7042737918226263
2021,Off-Peak,0.7274472668482073
2021,Peak,0.6576726978691988
2022,Off-Peak,0.7303978463951305
2022,Peak,0.6548268746194984
2023,Off-Peak,0.7348105018545013
2023,Peak,0.6602791934415932
2024,Off-Peak,0.7073272395326912
2024,Peak,0.6358511773900657
2025,Off-Peak,0.7236649475570093
2025,Peak,0.653792362850927
